book,book_abbr,chapter,chapter_abbr,character,word_count
New Spring,NS,Ch1: The Hook,1,Lan Mandragoran,5677
New Spring,NS,Ch2: A Wish Fulfilled,2,Moiraine Damodred,4949
New Spring,NS,Ch3: Practice,3,Moiraine Damodred,8708
New Spring,NS,Ch4: Leaving the Tower,4,Moiraine Damodred,6071
New Spring,NS,Ch5: The Human Heart,5,Moiraine Damodred,7958
New Spring,NS,Ch6: Surprises,6,Moiraine Damodred,5466
New Spring,NS,Ch7: The Itch,7,Moiraine Damodred,3302
New Spring,NS,Ch8: Shreds of Serenity,8,Moiraine Damodred,4266
New Spring,NS,Ch9: It Begins,9,Moiraine Damodred,4876
New Spring,NS,Ch10: It Finishes,10,Moiraine Damodred,2570
New Spring,NS,Ch11: Just Before Dawn,11,Moiraine Damodred,3299
New Spring,NS,Ch12: Entering Home,12,Moiraine Damodred,3475
New Spring,NS,Ch12: Entering Home,12,Siuan Sanche,1338
New Spring,NS,Ch12: Entering Home,12,Lan Mandragoran,633
New Spring,NS,Ch13: Business in the City,13,Moiraine Damodred,3733
New Spring,NS,Ch14: Changes,14,Moiraine Damodred,6544
New Spring,NS,Ch15: Into Canluum,15,Lan Mandragoran,2804
New Spring,NS,Ch16: The Deeps,16,Lan Mandragoran,4304
New Spring,NS,Ch17: An Arrival,17,Moiraine Damodred,5127
New Spring,NS,Ch18: A Narrow Passage,18,Moiraine Damodred,3743
New Spring,NS,Ch19: Pond Water,19,Moiraine Damodred,3726
New Spring,NS,Ch20: Breakfast in Manala,20,Lan Mandragoran,2895
New Spring,NS,Ch21: Some Tricks of the Power,21,Lan Mandragoran,1809
New Spring,NS,Ch21: Some Tricks of the Power,21,Moiraine Damodred,2504
New Spring,NS,Ch22: Keeping Custom,22,Lan Mandragoran,5116
New Spring,NS,Ch23: The Evening Star,23,Moiraine Damodred,3514
New Spring,NS,Ch24: Making Use of Invisibility,24,Moiraine Damodred,2902
New Spring,NS,Ch25: An Answer,25,Moiraine Damodred,4507
New Spring,NS,Ch26: When to Surrender,26,Lan Mandragoran,1119
New Spring,NS,Ch26: When to Surrender,26,Moiraine Damodred,2882
New Spring,NS,Epilogue,Epilogue,Moiraine Damodred,2035
The Eye of the World,TEOTW,Prologue: Dragonmount,Prologue,Lews Therin Telamon,2362
The Eye of the World,TEOTW,Prologue: Dragonmount,Prologue,Quote,254
The Eye of the World,TEOTW,Prologue: Ravens,Ravens,Egwene al'Vere,10044
The Eye of the World,TEOTW,Ch1: An Empty Road,1,Rand al'Thor,7164
The Eye of the World,TEOTW,Ch2: Strangers,2,Rand al'Thor,4956
The Eye of the World,TEOTW,Ch3: The Peddler,3,Rand al'Thor,5260
The Eye of the World,TEOTW,Ch4: The Gleeman,4,Rand al'Thor,5965
The Eye of the World,TEOTW,Ch5: Winternight,5,Rand al'Thor,7123
The Eye of the World,TEOTW,Ch6: The Westwood,6,Rand al'Thor,3411
The Eye of the World,TEOTW,Ch7: Out of the Woods,7,Rand al'Thor,5682
The Eye of the World,TEOTW,Ch8: A Place of Safety,8,Rand al'Thor,5934
The Eye of the World,TEOTW,Ch9: Tellings of the Wheel,9,Rand al'Thor,6933
The Eye of the World,TEOTW,Ch10: Leavetaking,10,Rand al'Thor,4048
The Eye of the World,TEOTW,Ch11: The Road to Taren Ferry,11,Rand al'Thor,3567
The Eye of the World,TEOTW,Ch12: Across the Taren,12,Rand al'Thor,5255
The Eye of the World,TEOTW,Ch13: Choices,13,Rand al'Thor,7308
The Eye of the World,TEOTW,Ch14: The Stag and Lion,14,Rand al'Thor,5890
The Eye of the World,TEOTW,Ch15: Strangers and Friends,15,Rand al'Thor,9061
The Eye of the World,TEOTW,Ch16: The Wisdom,16,Rand al'Thor,4246
The Eye of the World,TEOTW,Ch17: Watchers and Hunters,17,Rand al'Thor,6565
The Eye of the World,TEOTW,Ch18: The Caemlyn Road,18,Rand al'Thor,5529
The Eye of the World,TEOTW,Ch19: Shadow's Waiting,19,Rand al'Thor,7094
The Eye of the World,TEOTW,Ch20: Dust on the Wind,20,Rand al'Thor,2177
The Eye of the World,TEOTW,Ch20: Dust on the Wind,20,Perrin Aybara,1469
The Eye of the World,TEOTW,Ch20: Dust on the Wind,20,Rand al'Thor,3977
The Eye of the World,TEOTW,Ch21: Listen to the Wind,21,Nynaeve al'Meara,5127
The Eye of the World,TEOTW,Ch22: A Path Chosen,22,Perrin Aybara,2184
The Eye of the World,TEOTW,Ch23: Wolfbrother,23,Perrin Aybara,5822
The Eye of the World,TEOTW,Ch24: Flight Down the Arinelle,24,Rand al'Thor,5334
The Eye of the World,TEOTW,Ch25: The Traveling People,25,Perrin Aybara,6144
The Eye of the World,TEOTW,Ch26: Whitebridge,26,Rand al'Thor,8979
The Eye of the World,TEOTW,Ch27: Shelter From the Storm,27,Perrin Aybara,4918
The Eye of the World,TEOTW,Ch28: Footprints in the Air,28,Nynaeve al'Meara,3163
The Eye of the World,TEOTW,Ch29: Eyes Without Pity,29,Perrin Aybara,6184
The Eye of the World,TEOTW,Ch30: Children of Shadow,30,Perrin Aybara,6407
The Eye of the World,TEOTW,Ch31: Play for Your Supper,31,Rand al'Thor,4545
The Eye of the World,TEOTW,Ch32: Four Kings in Shadow,32,Rand al'Thor,7977
The Eye of the World,TEOTW,Ch33: The Dark Waits,33,Rand al'Thor,10410
The Eye of the World,TEOTW,Ch34: The Last Village,34,Rand al'Thor,5931
The Eye of the World,TEOTW,Ch35: Caemlyn,35,Rand al'Thor,5354
The Eye of the World,TEOTW,Ch36: Web of the Pattern,36,Rand al'Thor,5726
The Eye of the World,TEOTW,Ch37: The Long Chase,37,Nynaeve al'Meara,3239
The Eye of the World,TEOTW,Ch38: Rescue,38,Perrin Aybara,5934
The Eye of the World,TEOTW,Ch39: Weaving of the Web,39,Rand al'Thor,4472
The Eye of the World,TEOTW,Ch40: The Web Tightens,40,Rand al'Thor,9523
The Eye of the World,TEOTW,Ch41: Old Friends and New Threats,41,Rand al'Thor,5812
The Eye of the World,TEOTW,Ch42: Remembrance of Dreams,42,Rand al'Thor,4720
The Eye of the World,TEOTW,Ch43: Decisions and Apparitions,43,Rand al'Thor,4900
The Eye of the World,TEOTW,Ch44: The Dark Along the Ways,44,Rand al'Thor,5305
