name,birth,nationality,gender,height,weight,hair_color,eye_color,build,race,first_mentioned_book,first_mentioned_chapter,last_mentioned_book,last_mentioned_chapter,first_appeared_book,first_appeared_chapter,last_appeared_book,last_appeared_chapter,affiliation,title,rank,status,death,occupation,ajah,clan,sept,animal_type,color,owner
Furyk Karede,958 NE,Seanchan,Male,Tall,,,,,,,,AMOL,Epilogue,TPOD,23,AMOL,37,,,Banner-General,Alive,,Deathwatch Guard,,,,,,
Evelle Haevin,,Andoran,Female,,,,,,,COT,13,COT,13,,,,,House Trakand,Lady,,Alive,,,,,,,,
Eyndel,,Unknown,Male,,,,,,,,,,,KOD,37,KOD,37,Band of the Red Hand,,Officer,Alive,,Soldier,,,,,,
Doesine Alwain,867 NE,Cairhienin,Female,Average,,,,Slender,,,,,,TPOD,26,AMOL,37,White Tower,,Aes Sedai,Dead,1000 NE,Sitter,Yellow Ajah,,,,,
Dimana Corrand,,Black Hills,Female,,,"Bright red, streaked with white",,,,,,,,TPOD,1,TOM,33,The Kin,,Elder,Alive,,,,,,,,
Darin,,Aiel,Male,,,,,,,ACOS,40,ACOS,40,,,,,Sevanna,,,Alive,,,,Shaido,Moshaine,,,
Dermon,,Aiel,Male,Tall,,White,Blue,Gaunt,,,,,,TSR,25,TSR,25,,,,Dead,,,,Jenn Aiel,,,,
Diryk,971 NE,Kandori,Male,,,,Dark,,,,,NS,Epilogue,NS,22,NS,26,Kandor,,,Dead,979 NE,,,,,,,
Dimir Faral,,Unknown,Male,,,,,,,,,,,LOC,26,LOC,26,Children of the Light,,,Alive,,Soldier,,,,,,
Adela,,Altaran,Female,,,,,Lanky,,,,,,KOD,6,KOD,6,,,,Alive,,Stableman,,,,,,
Adrinne Bunt,,Unknown,Female,,,,,,,TOM,1,TOM,1,,,,,,,,Dead,,,,,,,,
Alind Dyfelle,,Unknown,Female,,,,,,,ACOS,19,ACOS,19,,,,,White Tower,,Aes Sedai,Dead,,,Gray Ajah,,,,,
Alida Aldragoran,,Saldaean,Female,,,,,,,KOD,20,KOD,20,,,,,,,,Alive,,,,,,,,
Althyn Conly,,Andoran,Female,,,,,,,COT,17,COT,17,,,,,White Tower,,Novice,Alive,,,,,,,,
Zaida din Parede Blackwing,,Unknown,Female,,,"Close cut, black, curly, graying",,Short,,LOC,28,,,WH,Prologue,AMOL,24,,,Mistress of the Ships,Alive,,,,,,,,
Amaresu,,Unknown,Female,,,,,,,,,KOD,24,TGH,47,TGH,47,Horn of Valere,,Hero of the Horn,Bound to the Wheel,,,,,,,,
Zera,,Unknown,Female,,,White,,,,,,TGH,34,TGH,25,,,,,,,,Innkeeper,,,,,,
Anghara,,Unknown,Female,,,,,,,ACOS,16,ACOS,16,,,,,,Amyrlin Seat,,Dead,,,Unknown Ajah,,,,,
Anford,,Andoran,Female,,,Graying,,,,,,,,KOD,17,KOD,32,Elayne Trakand,,,Alive,,Clerk,,,,,,
Anemara,,Unknown,Female,,,,,Plump,,,,,,KOD,2,KOD,2,White Tower,,Accepted,Alive,,,,,,,,
Ashmanaille,902 NE,Unknown,Female,Tall,,Dark,Brown,Lanky,,,,,,LOC,14,AMOL,27,White Tower,,Aes Sedai,Alive,,,Gray Ajah,,,,,
Athan Chandin,,Andoran,Male,,,,,,,,,,,KOD,26,KOD,26,Two Rivers,,,Alive,,Soldier,,,,,,
Azil Mareed,,Domani,Male,,,,,,,NS,2,NS,2,,,,,White Tower,High Captain of the Tower Guards,High Captain,Unknown (Presumed Dead),,Soldier,,,,,,
Jonan Adley,,Altaran,Male,,,,,,,,,TPOD,27,LOC,11,TPOD,24,The Dragon Reborn,,Soldier (Asha'man),Dead,1000 NE,Asha'man,,,,,,
Juric,,Aiel,Male,,,,,,,,,LOC,15,,,,,Bair,,,Alive,,,,Unknown clan,Unknown sept,,,
Juranai,,Aiel,Male,,,"Brown, streaked with white",,,,,,,,TFOH,41,TFOH,41,,,,Alive,,,,Unknown clan,Unknown sept,,,
Jurah Haret,,Tairen,Male,,,Balding,,,,,,,,TDR,50,TDR,53,,,,Alive,,Innkeeper,,,,,,
Jurad Accan,,Andoran,Male,,,,,,,COT,11,COT,11,,,,,House Trakand,,,Alive,,,,,,,,
Jur Grady,,Andoran,Male,,,,Dark,Stocky,,,,,,LOC,3,AMOL,45,Perrin Aybara,,Asha'man,Alive,,Asha'man,,,,,,
Juin,,Unknown,Male,,,,,,Ogier,,,,,TGH,35,TGH,37,,,,Alive,,,,,,,,
Juilin Sandar,962 NE,Tairen,Male,"1 span, 5 inches",28 1/2 stone,Black,Dark,,,TDR,48,,,TDR,49,AMOL,37,,,,Dead,,Thief-catcher,,,,,,
Jowdry,,Andoran,Male,,,,,,,TOM,8,TOM,8,,,,,,,,Dead,1000 NE,,,,,,,
Jovarin,,Unknown,Male,,,,,,,TSR,47,TSR,47,,,,,,,,Alive,,Mason,,,,,,
Jorshem,,Aiel,Male,Tall,,,,,,TOM,49,,,,,,,,,,Unknown,,Clan chief,,Unknown clan,Unknown sept,,,
Jorlen Corbesan,,Unknown,Male,,,,,,,TGS,5,TGS,5,,,,,,,Aes Sedai (Age of Legends),Dead,,,,,,,,
Jorin Arene,,Amadician,Male,,,,,,,TFOH,18,TFOH,18,,,,,Darkfriend,,,Alive,,Merchant,,,,,,
Jori Congar,,Andoran,Male,,,,,Skinny,,,,AMOL,37,TPOD,9,TOM,53,Perrin Aybara,,,Dead,,Soldier,,,,,,
Jorgin,,Domani,Male,,,,,,,TGS,32,TGS,32,,,,,,,,Alive,,Questioner,,,,,,
Jori,,Cairhienin,Male,Short,,Bald,,Very Wide,,,,,,LOC,29,KOD,1,White Tower,,,Alive,,Warder,,,,,,
Jophil,,Unknown,Male,,,,,,,,,,,AMOL,6,AMOL,6,,,,Alive,,,,,,,,
Jonneth Dowtry,,Andoran,Male,,,,,Lanky,,,,AMOL,37,TOM,46,AMOL,37,Logain Ablar,,Asha'man,Alive,,Asha'man,,,,,,
Joni Shagrin,,Andoran,Male,,,"Gray, thinning",,Big,,,,AMOL,27,TFOH,1,TFOH,28,House Bryne,,,Dead,1000 NE,,,,,,,
Jondyn Barran,,Andoran,Male,,,,,,,,,TOM,4,ACOS,1,KOD,4,Perrin Aybara,,,Alive,,Soldier,,,,,,
Jonai,,Aiel,Male,,,,,,,,,,,TSR,26,TSR,26,,,,Dead,,,,,,,,
Jon Thane,,Andoran,Male,,,,,,,TEOTW,1,TOM,14,TEOTW,2,TSR,56,Two Rivers,Village Councilor,,Alive,,Miller,,,,,,
Jon Skellit,,Andoran,Male,,,,,,,WH,26,KOD,16,,,,,Elayne Trakand,,,Alive,,Barber,,,,,,
Jon Gaelin,,Andoran,Male,,,,,,,TSR,33,,,TOM,34,TOM,34,Perrin Aybara,,,Alive,,Farmer,,,,,,
Jon Ayellin,,Andoran,Male,,,Bald,,Hulking,,,,,,LOC,Prologue,TOM,40,Perrin Aybara,,,Alive,,,,,,,,
Jom,,Unknown,Male,,,,,,,,,,,TSR,26,TSR,26,,,,Dead,,,,,,,,
Jon,,Ghealdanin,Male,,,,,,,TDR,8,TDR,8,,,,,,,,Alive,,Blacksmith,,,,,,
Johanin,,Ghealdanin,Male,,,,,,,TFOH,39,KOD,18,,,,,Ghealdan,King of Ghealdan,King,Dead,999 NE,,,,,,,
Joelin,,Unknown,Male,,,,,,,TSR,31,TSR,31,,,,,Children of the Light,,,Dead,999 NE,Soldier,,,,,,
Joao,,Shienaran,Male,,,,,,,,,,,TOM,23,TOM,23,Lan Mandragoran,,,Alive,,Soldier,,,,,,
Joal Ramedar,,Aldesharin,Male,,,,,,,LOC,26,,,,,,,,King of Aldeshar,King,Dead,,,,,,,,
Jisao Hamora,,Unknown,Male,,,,Dark,,,,,,,LOC,Prologue,TGS,4,Younglings,,,Alive,,Soldier,,,,,,
Jimar Chubain,,Unknown,Male,,,Black,,,,ACOS,Prologue,,,TGS,41,AMOL,9,White Tower,,High Captain,Alive,,Soldier,,,,,,
Jidar,,Saldaean,Male,,,,,,,,,,,LOC,45,LOC,45,,,,Alive,,Soldier,,,,,,
Jhoradin,,Aiel,Male,,,Red-golden,Blue,Squat,,,,TGS,21,TPOD,30,KOD,30,Sevanna,,,Dead,1000 NE,,,Unknown clan,Unknown sept,,,
Julanya Fote,,Unknown,Female,,,"Dark, touches of white",,Plump,,COT,14,TOM,31,KOD,32,KOD,32,The Kin,,,Alive,,,,,,,,
Juilaine Madome,903 NE,Ghealdanin,Female,Tall,,"Black, Short",,,,,,,,TPOD,26,TGS,46,White Tower,,Aes Sedai,Alive,,Sitter,Brown Ajah,,,,,
Juendan,,Unknown,Female,,,,,,Ogier,TDR,50,TDR,50,,,,,,,,Dead,,,,,,,,
Azi al'Thone,,Andoran,Male,,,,,,,TOM,Prologue,,,TOM,10,TOM,53,Perrin Aybara,,,Alive,,Soldier,,,,,,
Jheran,,Aiel,Male,,,"Graying, brown",,Slender,,TSR,28,,,TSR,57,AMOL,6,,,,Alive,,Clan chief,,Shaarad,,,,
Jerum Nus,,Unknown,Male,,,,,,,,,,,TOM,43,TOM,43,Children of the Light,,,Alive,,Soldier,,,,,,
