book,book_abbr,book_order,chapter,chapter_abbr,chapter_order,image_urls,images
New Spring,NS,1,Chapter 1: The Hook,1,1,https://library.tarvalon.net/images/thumb/2/26/Seanchan_Helmet_Chapter_Icon.png/150px-Seanchan_Helmet_Chapter_Icon.png,"[{'url': 'https://library.tarvalon.net/images/thumb/2/26/Seanchan_Helmet_Chapter_Icon.png/150px-Seanchan_Helmet_Chapter_Icon.png', 'path': 'full/e33d57eb71d2e785671a7a343ce0cb98edebb8d9.jpg', 'checksum': 'c9ed30635fdcd98b6e86a0750c7289a2'}]"
New Spring,NS,1,Chapter 16: The Deeps,16,16,https://library.tarvalon.net/images/thumb/2/26/Seanchan_Helmet_Chapter_Icon.png/150px-Seanchan_Helmet_Chapter_Icon.png,"[{'url': 'https://library.tarvalon.net/images/thumb/2/26/Seanchan_Helmet_Chapter_Icon.png/150px-Seanchan_Helmet_Chapter_Icon.png', 'path': 'full/e33d57eb71d2e785671a7a343ce0cb98edebb8d9.jpg', 'checksum': 'c9ed30635fdcd98b6e86a0750c7289a2'}]"
New Spring,NS,1,Chapter 15: Into Canluum,15,15,https://library.tarvalon.net/images/thumb/e/e5/Stag%27s_Head_Chapter_Icon.png/150px-Stag%27s_Head_Chapter_Icon.png,"[{'url': 'https://library.tarvalon.net/images/thumb/e/e5/Stag%27s_Head_Chapter_Icon.png/150px-Stag%27s_Head_Chapter_Icon.png', 'path': 'full/4806d3f5d3003f365f077a695d6fdd942d8d7763.jpg', 'checksum': '8f0fe80c991e978c76b3dd4929426520'}]"
New Spring,NS,1,Chapter 14: Changes,14,14,https://library.tarvalon.net/images/thumb/2/25/Wooden_Triangle_Chapter_Icon.png/150px-Wooden_Triangle_Chapter_Icon.png,"[{'url': 'https://library.tarvalon.net/images/thumb/2/25/Wooden_Triangle_Chapter_Icon.png/150px-Wooden_Triangle_Chapter_Icon.png', 'path': 'full/4b4b7a7d653fa91613755e51c3dd59defd16da7f.jpg', 'checksum': 'f26e1fcf9f568fa8bf014a7fef08a232'}]"
New Spring,NS,1,Chapter 12: Entering Home,12,12,https://library.tarvalon.net/images/thumb/e/eb/Fish_Chapter_Icon.png/150px-Fish_Chapter_Icon.png,"[{'url': 'https://library.tarvalon.net/images/thumb/e/eb/Fish_Chapter_Icon.png/150px-Fish_Chapter_Icon.png', 'path': 'full/3b7a8048552e2fa5af4425020312013e4d8b9189.jpg', 'checksum': '89e4b264ef74470c349d9dbc4c9de37e'}]"
New Spring,NS,1,Chapter 13: Business in the City,13,13,https://library.tarvalon.net/images/thumb/3/3e/Wheel_and_Serpent_Chapter_Icon.png/150px-Wheel_and_Serpent_Chapter_Icon.png,"[{'url': 'https://library.tarvalon.net/images/thumb/3/3e/Wheel_and_Serpent_Chapter_Icon.png/150px-Wheel_and_Serpent_Chapter_Icon.png', 'path': 'full/264340201cf4b0e32abe565233b52a6c6ff75150.jpg', 'checksum': '9d000d351e3a21d1e2e2771cc93a1d70'}]"
New Spring,NS,1,Chapter 9: It Begins,9,9,https://library.tarvalon.net/images/thumb/c/c9/Six-Pointed_Star_Chapter_Icon.png/150px-Six-Pointed_Star_Chapter_Icon.png,"[{'url': 'https://library.tarvalon.net/images/thumb/c/c9/Six-Pointed_Star_Chapter_Icon.png/150px-Six-Pointed_Star_Chapter_Icon.png', 'path': 'full/f688df549e49aaafda2bf6dff052be7f54a9bc3d.jpg', 'checksum': 'c0cd6dff3c9f453c674e4e0594f02f0f'}]"
New Spring,NS,1,Chapter 11: Just Before Dawn,11,11,https://library.tarvalon.net/images/thumb/f/f8/Flame_of_Tar_Valon_Chapter_Icon.png/150px-Flame_of_Tar_Valon_Chapter_Icon.png,"[{'url': 'https://library.tarvalon.net/images/thumb/f/f8/Flame_of_Tar_Valon_Chapter_Icon.png/150px-Flame_of_Tar_Valon_Chapter_Icon.png', 'path': 'full/c8b3986cd2adc5925fa128283a140921d2dd1a63.jpg', 'checksum': 'b5ba643bdd95c00cb03e105ff5d758af'}]"
New Spring,NS,1,Chapter 8: Shreds of Serenity,8,8,https://library.tarvalon.net/images/thumb/e/eb/Fish_Chapter_Icon.png/150px-Fish_Chapter_Icon.png,"[{'url': 'https://library.tarvalon.net/images/thumb/e/eb/Fish_Chapter_Icon.png/150px-Fish_Chapter_Icon.png', 'path': 'full/3b7a8048552e2fa5af4425020312013e4d8b9189.jpg', 'checksum': '89e4b264ef74470c349d9dbc4c9de37e'}]"
New Spring,NS,1,Chapter 10: It Finishes,10,10,https://library.tarvalon.net/images/thumb/0/05/Mice_Chapter_Icon.png/150px-Mice_Chapter_Icon.png,"[{'url': 'https://library.tarvalon.net/images/thumb/0/05/Mice_Chapter_Icon.png/150px-Mice_Chapter_Icon.png', 'path': 'full/83641a7a4bda46749f951b882ee6d77a4ab25f0f.jpg', 'checksum': 'a639ecb7068262d5c8f6cf876cba5664'}]"
