book,book_abbr,book_order,chapter,chapter_abbr,chapter_order,image_urls,images
New Spring,NS,1,Chapter 1: The Hook,,1,https://library.tarvalon.net/images/thumb/2/26/Seanchan_Helmet_Chapter_Icon.png/150px-Seanchan_Helmet_Chapter_Icon.png,"[{'url': 'https://library.tarvalon.net/images/thumb/2/26/Seanchan_Helmet_Chapter_Icon.png/150px-Seanchan_Helmet_Chapter_Icon.png', 'path': 'full/e33d57eb71d2e785671a7a343ce0cb98edebb8d9.jpg', 'checksum': 'c9ed30635fdcd98b6e86a0750c7289a2'}]"
New Spring,NS,1,Chapter 8: Shreds of Serenity,,8,https://library.tarvalon.net/images/thumb/e/eb/Fish_Chapter_Icon.png/150px-Fish_Chapter_Icon.png,"[{'url': 'https://library.tarvalon.net/images/thumb/e/eb/Fish_Chapter_Icon.png/150px-Fish_Chapter_Icon.png', 'path': 'full/3b7a8048552e2fa5af4425020312013e4d8b9189.jpg', 'checksum': '89e4b264ef74470c349d9dbc4c9de37e'}]"
New Spring,NS,1,Chapter 7: The Itch,,7,https://library.tarvalon.net/images/thumb/3/3e/Wheel_and_Serpent_Chapter_Icon.png/150px-Wheel_and_Serpent_Chapter_Icon.png,"[{'url': 'https://library.tarvalon.net/images/thumb/3/3e/Wheel_and_Serpent_Chapter_Icon.png/150px-Wheel_and_Serpent_Chapter_Icon.png', 'path': 'full/264340201cf4b0e32abe565233b52a6c6ff75150.jpg', 'checksum': '9d000d351e3a21d1e2e2771cc93a1d70'}]"
New Spring,NS,1,Chapter 6: Surprises,,6,https://library.tarvalon.net/images/thumb/c/ce/Rising_Sun_Chapter_Icon.png/210px-Rising_Sun_Chapter_Icon.png,"[{'url': 'https://library.tarvalon.net/images/thumb/c/ce/Rising_Sun_Chapter_Icon.png/210px-Rising_Sun_Chapter_Icon.png', 'path': 'full/58d82a3841c18e6c738fedb760ed23f91a88702b.jpg', 'checksum': '6417c8b13ba9d3b9f42d9f560522fd4b'}]"
New Spring,NS,1,Chapter 4: Leaving the Tower,,4,https://library.tarvalon.net/images/thumb/f/f8/Flame_of_Tar_Valon_Chapter_Icon.png/150px-Flame_of_Tar_Valon_Chapter_Icon.png,"[{'url': 'https://library.tarvalon.net/images/thumb/f/f8/Flame_of_Tar_Valon_Chapter_Icon.png/150px-Flame_of_Tar_Valon_Chapter_Icon.png', 'path': 'full/c8b3986cd2adc5925fa128283a140921d2dd1a63.jpg', 'checksum': 'b5ba643bdd95c00cb03e105ff5d758af'}]"
New Spring,NS,1,Chapter 5 The Human Heart, The Human Heart,5,https://library.tarvalon.net/images/thumb/3/3e/Wheel_and_Serpent_Chapter_Icon.png/150px-Wheel_and_Serpent_Chapter_Icon.png,"[{'url': 'https://library.tarvalon.net/images/thumb/3/3e/Wheel_and_Serpent_Chapter_Icon.png/150px-Wheel_and_Serpent_Chapter_Icon.png', 'path': 'full/264340201cf4b0e32abe565233b52a6c6ff75150.jpg', 'checksum': '9d000d351e3a21d1e2e2771cc93a1d70'}]"
New Spring,NS,1,Chapter 16: The Deeps,6,16,https://library.tarvalon.net/images/thumb/2/26/Seanchan_Helmet_Chapter_Icon.png/150px-Seanchan_Helmet_Chapter_Icon.png,"[{'url': 'https://library.tarvalon.net/images/thumb/2/26/Seanchan_Helmet_Chapter_Icon.png/150px-Seanchan_Helmet_Chapter_Icon.png', 'path': 'full/e33d57eb71d2e785671a7a343ce0cb98edebb8d9.jpg', 'checksum': 'c9ed30635fdcd98b6e86a0750c7289a2'}]"
New Spring,NS,1,Chapter 14: Changes,4,14,https://library.tarvalon.net/images/thumb/2/25/Wooden_Triangle_Chapter_Icon.png/150px-Wooden_Triangle_Chapter_Icon.png,"[{'url': 'https://library.tarvalon.net/images/thumb/2/25/Wooden_Triangle_Chapter_Icon.png/150px-Wooden_Triangle_Chapter_Icon.png', 'path': 'full/4b4b7a7d653fa91613755e51c3dd59defd16da7f.jpg', 'checksum': 'f26e1fcf9f568fa8bf014a7fef08a232'}]"
New Spring,NS,1,Chapter 3: Practice,,3,https://library.tarvalon.net/images/thumb/e/eb/Fish_Chapter_Icon.png/150px-Fish_Chapter_Icon.png,"[{'url': 'https://library.tarvalon.net/images/thumb/e/eb/Fish_Chapter_Icon.png/150px-Fish_Chapter_Icon.png', 'path': 'full/3b7a8048552e2fa5af4425020312013e4d8b9189.jpg', 'checksum': '89e4b264ef74470c349d9dbc4c9de37e'}]"
New Spring,NS,1,Chapter 2: A Wish Fulfilled,,2,https://library.tarvalon.net/images/thumb/3/3e/Wheel_and_Serpent_Chapter_Icon.png/150px-Wheel_and_Serpent_Chapter_Icon.png,"[{'url': 'https://library.tarvalon.net/images/thumb/3/3e/Wheel_and_Serpent_Chapter_Icon.png/150px-Wheel_and_Serpent_Chapter_Icon.png', 'path': 'full/264340201cf4b0e32abe565233b52a6c6ff75150.jpg', 'checksum': '9d000d351e3a21d1e2e2771cc93a1d70'}]"
