name,birth,nationality,gender,height,weight,hair_color,eye_color,build,race,first_mentioned_book,first_mentioned_chapter,first_appeared_book,first_appeared_chapter,last_appeared_book,last_appeared_chapter,affiliation,title,rank,status,death,occupation,ajah,clan,sept
Eyndel,,Unknown nationality,Male,,,,,,,,,KOD,37,KOD,37,Band of the Red Hand,,Officer,Alive,,Soldier,,,
Denharad,,Cairhienin,Male,,,,,,,,,TPOD,23,TPOD,24,Dragon Reborn,,Lance-Captain,Alive,,Soldier,,,
Cathal Devore,942 NE,Ghealdanin,Female,"5'9"" or 5'10""",,Dark Brown,Hazel,Lanky and Bony,,The Wheel of Time Companion,,,,,,White Tower,,Aes Sedai,Alive,,,Brown Ajah,,
Evelle Haevin,,Andoran,Female,,,,,,,COT,13,,,,,House Trakand,Lady,,Alive,,,,,
Dyrele,,Aiel,Female,,,,Green,,,,,ACOS,40,ACOS,40,Sevanna,,,Alive,,Roofmistress,,Shaido,Moshaine
Buad,,Unknown nationality,Female,,,,,,,TEOTW,17,TGH,47,AMOL,39,Horn of Valere,,Hero of the Horn,Bound to the Wheel,,,,,
Azzara din Karak,,,Female,,,,,,,,,,,,,,,,Alive,,Windfinder,,,
Cyril Wynn,978 NE,Murandian,Male,,,,,,,,,NS,5,NS,5,,,,Alive,,,,,
Cynric Talvaen,,Ghealdanin,Male,,,,,,,RPG,,,,,,,Lord,Lord,Dead,,,,,
Agni Neres,,Altaran,Male,Tall,,,,Bony,,,,TFOH,48,TFOH,49,,,,Alive,,Ship captain,,,
Abaldar Yulan,,Seanchan,Male,Very small,,Bald,,,,,,TPOD,24,AMOL,37,,,Lieutenant-General,Alive,,,,,
Zorelle,,Unknown nationality,Female,,,,,,,TSR,26,,,,,,,Aes Sedai (Age of Legends),Dead,,,,,
Zerah Dacan,928 NE,Mayener,Female,,,Black,Blue,Slim,,,,TPOD,26,TPOD,26,White Tower,,Aes Sedai,Alive,,,White Ajah,,
Zeranda Tyrim,,Unknown nationality,Female,,,,,,,TWORJTWOT,,,,,,,Amyrlin Seat,Aes Sedai,Dead,817 NE,,Brown Ajah,,
Zenare Ghodar,,Unknown nationality,Female,,,,,Plump,,,,LOC,30,LOC,30,White Tower,,Aes Sedai,Alive,,,Yellow Ajah,,
Zera,,Unknown nationality,Female,,,White,,,,,,TGH,25,,,,,,,,Innkeeper,,,
Melanril Asegora,,Tairen,Male,,,,Dark,,,,,TFOH,43,TFOH,44,,,,Dead,999 NE,,,,
Mandelain,,Aiel,Male,,,Balding,,,,TFOH,2,ACOS,18,ACOS,18,,,,Alive,,Clan chief,,Daryne,
Muad Cheade,,Saldaean,Male,,,,,,,LOC,2,,,,,Saldaea,,Marshal-General,Dead,,Soldier,,,
Mycal Crossin,,Altaran,Male,,,,,,,,,COT,26,COT,26,,,,Alive,,Merchant,,,
Meilan Mendiana,,Tairen,Male,Tall,,Gray,Dark,Lean,,,,TSR,8,LOC,53,The Dragon Reborn,High Lord of Tear,,Dead,999 NE,,,,
Mutch,,Andoran,Male,,,,,Wiry,,,,TEOTW,13,TEOTW,17,,,,Alive,,Stableman,,,
Nad,,Altaran,Male,,,Black,Beady,Muscular,,,,ACOS,17,ACOS,17,Darkfriend,,,Alive,,Thug,,,
