name,birth,nationality,gender,height,weight,hair_color,eye_color,build,race,first_mentioned_book,first_mentioned_chapter,first_appeared_book,first_appeared_chapter,last_appeared_book,last_appeared_chapter,affiliation,title,rank,status,death,occupation,ajah,clan,sept
Sylvase Caeren,,Andoran,Female,,,,"Alert, blue",Sturdy,,,,COT,15,TOM,23,House Trakand,Lady,High Seat,Alive ,,,,,
Sybaine,,Far Madding,Female,,,Gray,,,,,,WH,24,WH,34,,,Counsel,Alive ,,,,,
Rysael din Yulan,,,Female,,,,,,,,,TPOD,5,KOD,33,,,Windfinder,Alive ,,,,,
Nyein din Kalede,,,Female,,,Dark,Dark,,,WH,11,,,,,White Tower,,Aes Sedai,Alive ,,Librarian,Brown Ajah,,
Nubei Peldovni,,Arafellin,Female,,,,,,,Wheel of Time Companion,,,,,,White Tower,,Aes Sedai,Alive ,,,White Ajah,,
Myriam Copan,,Unknown nationality,Female,,,,,,,TWORJTWOT,,,,,,White Tower,Amyrlin Seat,Aes Sedai,Dead,797 NE,,Green Ajah,,
Myrelle Berengari,954 NE,Altaran,Female,,,Dark,"Dark, large",,,,,NS,3,AMOL,31,White Tower,,Aes Sedai,Alive ,,,Green Ajah,,
Musarin,,Unknown nationality,Female,Tall,,White,,,,,,TGS,6,TGS,6,White Tower,,Aes Sedai,Alive ,,,Yellow Ajah,,
Lyrelle Arienwin,833 NE,Cairhienin,Female,Average,,,,,,,,TPOD,16,AMOL,Epilogue,White Tower,,Aes Sedai,Alive ,,Sitter,Blue Ajah,,
Gyldan,,Unknown nationality,Female,,,,,,,,,TDR,22,TDR,22,Black Ajah,,Aes Sedai,Unknown,,,Red Ajah,,
Guisin,,Unknown nationality,Female,Tall,,Silver-gold,,,,LOC,15,WH,28,WH,28,Seanchan,,Aes Sedai,Alive ,,,Gray Ajah,,
Kaila Bent,,Unknown nationality,Female,,,Fiery,,Lanky,,,,TOM,22,TOM,23,Queen's Guard,,Captain,Alive ,,Soldier,,,
Ivonell Bharatiya,,Unknown nationality,Female,,,,,,,COT,7,,,,,,,,Dead,,Author,,,
Ivara,664 NE,Tairen,Female,,,,,,,,,ACOS,31,,,The Kin,,Elder,Alive ,,Goldsmith,,,
Faeldrin Harella,,Taraboner,Female,,,Dark,Cool,,,,,LOC,Prologue,WH,32,White Tower,,Aes Sedai,Dead,,,Green Ajah,,
Hilde Barran,,Andoran,Female,,,,,Plump,,,,LOC,10,LOC,11,White Tower,,Novice,Alive ,,,,,
Fortuona Athaem Devi Paendrag,980 NE,Seanchan,Female,Less than 5 feet,Petite,Black,Brown,,,TGH,34,WH,14,AMOL,Epilogue,,Empress,Empress,Alive ,,,,,
Frielle Anan,,Altaran,Female,,,,,,,,,LOC,52,WH,19,,,,Alive ,,Maid,,,
Fionnda Annariz,,Tairen,Female,,,,Iron,,,,,LOC,19,COT,Prologue,,High Lady of Tear,,Alive ,,,,,
Ferane Neheran,727 NE,Domani,Female,Short,,"Long, Black",,Stout,,TPOD,25,COT,21,AMOL,31,White Tower,First Reasoner,Aes Sedai,Alive ,,Sitter,White Ajah,,
Dyrele,,Aiel,Female,,,,Green,,,,,ACOS,40,ACOS,40,Sevanna,,,Alive ,,Roofmistress,,Shaido,Moshaine
Dyelin Taravin,,Andoran,Female,,,"Golden, with touches of gray",,,,TDR,47,LOC,16,AMOL,7,House Trakand,Lady,High Seat,Alive ,,,,,
Duranda Tharne,,Murandian,Female,,,Dyed red,,,,,,TFOH,11,TFOH,11,,,,Alive ,,Innkeeper,,,
Dunsinin,,Unknown nationality,Female,,,,,,,TFOH,24,,,,,,,,Dead,,,,,
Dumera Alman,,Unknown nationality,Female,,,,,,,TWORJTWOT,,,,,,,,Aes Sedai,Dead,,,Unknown Ajah,,
Duhara Basaheen,764 NE,Domani,Female,Tall,,,"Big, Dark",Slim,,,,NS,14,AMOL,23,Black Ajah,,Aes Sedai,Dead,1000 NE,Dreadlord,Red Ajah,,
Dosera,,Aiel,Female,,,,,,,,,ACOS,Prologue,ACOS,Prologue,Sevanna,,,Dead,1000 NE,Wise One,,Shaido,Unknown sept
Dorindha,,Aiel,Female,,,"Red, streaks of white",Blue,Solid,,TFOH,5,ACOS,7,KOD,15, ,,,Alive ,,Roofmistress,,Goshien,Unknown sept
Dorindha,,Aiel,Female,,,,,,,TSR,2,TSR,36,TSR,36, ,,,Alive ,,,,Taardad,Jindo
Dorile din Eiran Long Feather,,,Female,,,,,Slender,,,,ACOS,13,COT,15,,,Windfinder,Alive ,,,,,
Dorele,,,Female,,,,,Slender,,,,TSR,19,TSR,19,,,,Alive ,,Sailor,,,
Doral Barran,,Andoran,Female,,,"White, Long, Braided",,,,,,TEOTW,Ravens,TEOTW,Ravens,Two Rivers,Wisdom,,Dead,,Healer,,,
Doraise Mesianos,,Unknown nationality,Female,,,,,Plump,,ACOS,32,COT,Prologue,COT,Prologue,White Tower,,Aes Sedai,Alive ,,,Brown Ajah,,
Doreille Torghin,,Aridholin,Female,,,,,,,TGS,27,,,,,,Queen of Aridhol ,Queen,Dead,,,,,
Dorailla,,Aiel,Female,,,,,,,,,ACOS,Prologue,ACOS,Prologue,Sevanna,,,Alive ,,Wise One,,Shaido,Unknown sept
Doniella Alievin,,Cairhienin,Female,,,,,,,TWORJTWOT,,,,,,,Amyrlin Seat,Aes Sedai,Dead,363 NE,,Brown Ajah,,
Doesine Alwain,867 NE,Cairhienin,Female,Average,,,,Slender,,,,TPOD,26,AMOL,37,White Tower,,Aes Sedai,Dead,1000 NE,Sitter,Yellow Ajah,,
Domeille,,Aiel,Female,,,Gray,,,,,,ACOS,33,ACOS,33, ,,,Alive ,,,,Unknown clan,Unknown sept
Dimana Corrand,,Black Hills,Female,,,"Bright red, streaked with white",,,,,,TPOD,1,TOM,33,The Kin,,Elder,Alive ,,,,,
Desora,,Aiel,Female,,,Golden,,,,,,LOC,3,LOC,26, ,,,Dead,999 NE,,,Reyn,Musara
Deselle Aybara,988 NE,Andoran,Female,,,,,,,,,TEOTW,Ravens,TEOTW,Ravens,Two Rivers,,,Dead,999 NE,,,,
Desala Nevanche,,Cairhienin,Female,,,,"Dark, large",,,KOD,Prologue,KOD,Epilogue,AMOL,14,The Shadow,,Aes Sedai,Alive ,,,Red Ajah,,
